universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Trabajo Social,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Maestro de Educación Infantil - Maestro de
Educación Primaria",Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,"Maestro de Educación Infantil - Maestro de
Educación Primaria",Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Maestro de Educación Infantil - Maestro de
Educación Primaria",Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,"Maestro de Educación Infantil - Maestro de
Educación Primaria",Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Maestro de Educación Infantil - Maestro de
Educación Primaria",Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria - Pedagogía,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria - Pedagogía,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria - Pedagogía,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria - Pedagogía,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria - Pedagogía,Grupo 5,5.00,2025,ordinaria
Universidad De Alcalá,Arquitectura Técnica y Edificación (Guadalajara),Grupo 1,7.707,2025,ordinaria
Universidad De Alcalá,Arquitectura Técnica y Edificación (Guadalajara),Grupo 2,6.70,2025,ordinaria
Universidad De Alcalá,Fundamentos de Arquitectura y Urbanismo,Grupo 1,10.148,2025,ordinaria
Universidad De Alcalá,Fundamentos de Arquitectura y Urbanismo,Grupo 2,7.12,2025,ordinaria
Universidad De Alcalá,Ingeniería de Computadores,Grupo 1,8.575,2025,ordinaria
Universidad De Alcalá,Ingeniería de Computadores,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingeniería Electrónica de Comunicaciones,Grupo 1,7.504,2025,ordinaria
Universidad De Alcalá,Ingeniería Electrónica de Comunicaciones,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingeniería Electrónica y Automática Industrial,Grupo 1,9.976,2025,ordinaria
Universidad De Alcalá,Ingeniería Electrónica y Automática Industrial,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingeniería en Sistemas de Información,Grupo 1,8.139,2025,ordinaria
Universidad De Alcalá,Ingeniería en Sistemas de Información,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingeniería en Sistemas de Telecomunicación,Grupo 1,7.800,2025,ordinaria
Universidad De Alcalá,Ingeniería en Sistemas de Telecomunicación,Grupo 2,5.00,2025,ordinaria
