id;id_grado_ofertado;año;convocatoria;grupo;nota
421;225;2025;ordinaria;Grupo 5;5.0
422;260;2025;ordinaria;Grupo 5;5.0
423;315;2025;ordinaria;Grupo 5;5.0
424;319;2025;ordinaria;Grupo 5;5.0
425;320;2025;ordinaria;Grupo 5;5.0
426;118;2025;ordinaria;Grupo 1;11.233
427;144;2025;ordinaria;Grupo 1;11.233
428;169;2025;ordinaria;Grupo 1;11.233
429;218;2025;ordinaria;Grupo 1;11.233
430;254;2025;ordinaria;Grupo 1;11.233
431;258;2025;ordinaria;Grupo 1;11.233
432;118;2025;ordinaria;Grupo 2;8.14
433;144;2025;ordinaria;Grupo 2;8.14
434;169;2025;ordinaria;Grupo 2;8.14
435;218;2025;ordinaria;Grupo 2;8.14
436;254;2025;ordinaria;Grupo 2;8.14
437;258;2025;ordinaria;Grupo 2;8.14
438;118;2025;ordinaria;Grupo 3;5.0
439;144;2025;ordinaria;Grupo 3;5.0
440;169;2025;ordinaria;Grupo 3;5.0
441;218;2025;ordinaria;Grupo 3;5.0
442;254;2025;ordinaria;Grupo 3;5.0
443;258;2025;ordinaria;Grupo 3;5.0
444;118;2025;ordinaria;Grupo 4;6.75
445;144;2025;ordinaria;Grupo 4;6.75
446;169;2025;ordinaria;Grupo 4;6.75
447;218;2025;ordinaria;Grupo 4;6.75
448;254;2025;ordinaria;Grupo 4;6.75
449;258;2025;ordinaria;Grupo 4;6.75
450;118;2025;ordinaria;Grupo 5;5.0
451;144;2025;ordinaria;Grupo 5;5.0
452;169;2025;ordinaria;Grupo 5;5.0
453;218;2025;ordinaria;Grupo 5;5.0
454;254;2025;ordinaria;Grupo 5;5.0
455;258;2025;ordinaria;Grupo 5;5.0
456;119;2025;ordinaria;Grupo 1;8.439
457;214;2025;ordinaria;Grupo 1;8.439
458;221;2025;ordinaria;Grupo 1;8.439
459;235;2025;ordinaria;Grupo 1;8.439
460;244;2025;ordinaria;Grupo 1;8.439
461;246;2025;ordinaria;Grupo 1;8.439
462;256;2025;ordinaria;Grupo 1;8.439
463;264;2025;ordinaria;Grupo 1;8.439
464;265;2025;ordinaria;Grupo 1;8.439
465;266;2025;ordinaria;Grupo 1;8.439
466;267;2025;ordinaria;Grupo 1;8.439
467;268;2025;ordinaria;Grupo 1;8.439
468;119;2025;ordinaria;Grupo 2;7.16
469;214;2025;ordinaria;Grupo 2;7.16
470;221;2025;ordinaria;Grupo 2;7.16
471;235;2025;ordinaria;Grupo 2;7.16
472;244;2025;ordinaria;Grupo 2;7.16
473;246;2025;ordinaria;Grupo 2;7.16
474;256;2025;ordinaria;Grupo 2;7.16
475;264;2025;ordinaria;Grupo 2;7.16
476;265;2025;ordinaria;Grupo 2;7.16
477;266;2025;ordinaria;Grupo 2;7.16
478;267;2025;ordinaria;Grupo 2;7.16
479;268;2025;ordinaria;Grupo 2;7.16
480;119;2025;ordinaria;Grupo 3;5.0
481;214;2025;ordinaria;Grupo 3;5.0
482;221;2025;ordinaria;Grupo 3;5.0
483;235;2025;ordinaria;Grupo 3;5.0
484;244;2025;ordinaria;Grupo 3;5.0
485;246;2025;ordinaria;Grupo 3;5.0
486;256;2025;ordinaria;Grupo 3;5.0
487;264;2025;ordinaria;Grupo 3;5.0
488;265;2025;ordinaria;Grupo 3;5.0
489;266;2025;ordinaria;Grupo 3;5.0
490;267;2025;ordinaria;Grupo 3;5.0
491;268;2025;ordinaria;Grupo 3;5.0
492;119;2025;ordinaria;Grupo 4;5.0
493;214;2025;ordinaria;Grupo 4;5.0
494;221;2025;ordinaria;Grupo 4;5.0
495;235;2025;ordinaria;Grupo 4;5.0
496;244;2025;ordinaria;Grupo 4;5.0
497;246;2025;ordinaria;Grupo 4;5.0
498;256;2025;ordinaria;Grupo 4;5.0
499;264;2025;ordinaria;Grupo 4;5.0
500;265;2025;ordinaria;Grupo 4;5.0
501;266;2025;ordinaria;Grupo 4;5.0
502;267;2025;ordinaria;Grupo 4;5.0
503;268;2025;ordinaria;Grupo 4;5.0
504;119;2025;ordinaria;Grupo 5;5.0
505;214;2025;ordinaria;Grupo 5;5.0
506;221;2025;ordinaria;Grupo 5;5.0
507;235;2025;ordinaria;Grupo 5;5.0
508;244;2025;ordinaria;Grupo 5;5.0
509;246;2025;ordinaria;Grupo 5;5.0
510;256;2025;ordinaria;Grupo 5;5.0
511;264;2025;ordinaria;Grupo 5;5.0
512;265;2025;ordinaria;Grupo 5;5.0
513;266;2025;ordinaria;Grupo 5;5.0
514;267;2025;ordinaria;Grupo 5;5.0
515;268;2025;ordinaria;Grupo 5;5.0
516;242;2025;ordinaria;Grupo 1;8.8
517;269;2025;ordinaria;Grupo 1;8.8
518;271;2025;ordinaria;Grupo 1;8.8
519;276;2025;ordinaria;Grupo 1;8.8
520;278;2025;ordinaria;Grupo 1;8.8
521;281;2025;ordinaria;Grupo 1;8.8
522;282;2025;ordinaria;Grupo 1;8.8
523;286;2025;ordinaria;Grupo 1;8.8
524;242;2025;ordinaria;Grupo 2;6.65
525;269;2025;ordinaria;Grupo 2;6.65
526;271;2025;ordinaria;Grupo 2;6.65
527;276;2025;ordinaria;Grupo 2;6.65
528;278;2025;ordinaria;Grupo 2;6.65
529;281;2025;ordinaria;Grupo 2;6.65
530;282;2025;ordinaria;Grupo 2;6.65
531;286;2025;ordinaria;Grupo 2;6.65
532;242;2025;ordinaria;Grupo 3;5.0
533;269;2025;ordinaria;Grupo 3;5.0
534;271;2025;ordinaria;Grupo 3;5.0
535;276;2025;ordinaria;Grupo 3;5.0
536;278;2025;ordinaria;Grupo 3;5.0
537;281;2025;ordinaria;Grupo 3;5.0
538;282;2025;ordinaria;Grupo 3;5.0
539;286;2025;ordinaria;Grupo 3;5.0
540;242;2025;ordinaria;Grupo 4;5.0
541;269;2025;ordinaria;Grupo 4;5.0
542;271;2025;ordinaria;Grupo 4;5.0
543;276;2025;ordinaria;Grupo 4;5.0
544;278;2025;ordinaria;Grupo 4;5.0
545;281;2025;ordinaria;Grupo 4;5.0
546;282;2025;ordinaria;Grupo 4;5.0
547;286;2025;ordinaria;Grupo 4;5.0
548;242;2025;ordinaria;Grupo 5;5.0
549;269;2025;ordinaria;Grupo 5;5.0
550;271;2025;ordinaria;Grupo 5;5.0
551;276;2025;ordinaria;Grupo 5;5.0
552;278;2025;ordinaria;Grupo 5;5.0
553;281;2025;ordinaria;Grupo 5;5.0
554;282;2025;ordinaria;Grupo 5;5.0
555;286;2025;ordinaria;Grupo 5;5.0
556;0;2025;ordinaria;Grupo 1;9.545
557;0;2025;ordinaria;Grupo 2;5.0
558;0;2025;ordinaria;Grupo 3;5.0
559;0;2025;ordinaria;Grupo 4;5.0
560;0;2025;ordinaria;Grupo 5;5.0
561;291;2025;ordinaria;Grupo 1;8.5
562;295;2025;ordinaria;Grupo 1;8.5
563;291;2025;ordinaria;Grupo 2;7.62
564;295;2025;ordinaria;Grupo 2;7.62
565;291;2025;ordinaria;Grupo 3;5.0
566;295;2025;ordinaria;Grupo 3;5.0
567;291;2025;ordinaria;Grupo 4;5.0
568;295;2025;ordinaria;Grupo 4;5.0
569;291;2025;ordinaria;Grupo 5;5.0
570;295;2025;ordinaria;Grupo 5;5.0
571;0;2025;ordinaria;Grupo 1;8.878
572;0;2025;ordinaria;Grupo 2;7.95
573;0;2025;ordinaria;Grupo 3;5.0
574;0;2025;ordinaria;Grupo 4;5.0
575;0;2025;ordinaria;Grupo 5;5.0
576;0;2025;ordinaria;Grupo 1;9.42
577;0;2025;ordinaria;Grupo 2;7.78
578;0;2025;ordinaria;Grupo 3;5.0
