universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 1,7.350,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 2,8.11,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Sociologia,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Sociologia,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Sociologia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Sociologia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Sociologia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 1,7.140,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 2,7.53,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Turismo,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 4,5.00,2025,ordinaria
